Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std
87.50,82.50,78.75,90.00,90.00,85.75±4.97
91.25,95.00,92.50,91.25,86.25,91.25±3.19
70.00,73.75,73.75,66.25,76.25,72.00±3.91
98.75,100.00,91.25,100.00,88.75,95.75±5.35
55.00,60.00,61.25,63.75,52.50,58.50±4.63
93.75,96.25,97.50,96.25,92.50,95.25±2.05
98.75,100.00,100.00,98.75,100.00,99.50±0.68
82.50,82.50,87.50,81.25,77.50,82.25±3.58
93.75,87.50,91.25,86.25,77.50,87.25±6.21
96.25,92.50,90.00,87.50,88.75,91.00±3.47
100.00,100.00,100.00,100.00,98.75,99.75±0.56
98.75,100.00,98.75,98.75,98.75,99.00±0.56
71.25,73.75,76.25,77.50,77.50,75.25±2.71
97.50,96.25,97.50,90.00,91.25,94.50±3.60
92.50,90.00,93.75,95.00,93.75,93.00±1.90
98.75,98.75,100.00,98.75,97.50,98.75±0.88
72.50,81.25,81.25,77.50,81.25,78.75±3.85
100.00,98.75,100.00,98.75,98.75,99.25±0.68
92.50,95.00,92.50,91.25,92.50,92.75±1.37
66.25,65.00,66.25,65.00,47.50,62.00±8.13
87.50,88.75,87.50,81.25,83.75,85.75±3.14
76.25,73.75,65.00,66.25,77.50,71.75±5.77
25.00,27.50,25.00,32.50,30.00,28.00±3.26
78.75,76.25,76.25,76.25,57.50,73.00±8.73
82.50,98.75,91.25,96.25,85.00,90.75±6.99
88.75,90.00,82.50,83.75,90.00,87.00±3.60
93.75,97.50,91.25,92.50,98.75,94.75±3.24
87.50,88.75,90.00,86.25,85.00,87.50±1.98
90.00,85.00,92.50,88.75,95.00,90.25±3.79
100.00,100.00,100.00,97.50,97.50,99.00±1.37
100.00,100.00,100.00,95.00,98.75,98.75±2.17
100.00,100.00,98.75,98.75,100.00,99.50±0.68
82.50,95.00,76.25,92.50,91.25,87.50±7.86
38.75,51.25,57.50,45.00,40.00,46.50±7.88
48.75,68.75,52.50,67.50,63.75,60.25±9.07
100.00,98.75,100.00,100.00,100.00,99.75±0.56
97.50,97.50,96.25,98.75,97.50,97.50±0.88
100.00,100.00,97.50,97.50,100.00,99.00±1.37
96.25,92.50,90.00,96.25,95.00,94.00±2.71
76.25,68.75,66.25,71.25,67.50,70.00±3.95
91.25,93.75,93.75,82.50,95.00,91.25±5.08
93.75,96.25,96.25,96.25,97.50,96.00±1.37
98.75,96.25,100.00,100.00,100.00,99.00±1.63
98.75,100.00,100.00,100.00,100.00,99.75±0.56
73.75,65.00,65.00,75.00,63.75,68.50±5.41
97.50,90.00,87.50,95.00,87.50,91.50±4.54
42.50,37.50,37.50,23.75,31.25,34.50±7.21
92.50,92.50,92.50,97.50,92.50,93.50±2.24
100.00,100.00,100.00,100.00,97.50,99.50±1.12
97.50,96.25,98.75,95.00,91.25,95.75±2.88
66.25,66.25,66.25,67.50,60.00,65.25±2.98
97.50,97.50,92.50,96.25,96.25,96.00±2.05
91.25,83.75,76.25,75.00,83.75,82.00±6.59
72.50,66.25,57.50,61.25,63.75,64.25±5.63
85.58,86.09,84.63,84.86,83.73,84.98±16.76
