Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std
90.00,81.25,78.75,90.00,90.00,86.00±5.55
87.50,95.00,92.50,92.50,87.50,91.00±3.35
75.00,70.00,70.00,63.75,76.25,71.00±4.95
100.00,100.00,90.00,100.00,88.75,95.75±5.84
55.00,61.25,61.25,62.50,52.50,58.50±4.45
92.50,97.50,95.00,93.75,92.50,94.25±2.09
98.75,100.00,100.00,98.75,100.00,99.50±0.68
82.50,80.00,87.50,80.00,78.75,81.75±3.49
91.25,87.50,92.50,83.75,76.25,86.25±6.56
95.00,93.75,90.00,87.50,87.50,90.75±3.49
100.00,100.00,100.00,100.00,98.75,99.75±0.56
98.75,100.00,98.75,98.75,98.75,99.00±0.56
76.25,73.75,71.25,78.75,81.25,76.25±3.95
96.25,93.75,97.50,90.00,95.00,94.50±2.88
92.50,90.00,92.50,95.00,95.00,93.00±2.09
98.75,98.75,97.50,98.75,97.50,98.25±0.68
75.00,81.25,81.25,81.25,80.00,79.75±2.71
100.00,98.75,98.75,98.75,98.75,99.00±0.56
87.50,96.25,95.00,91.25,93.75,92.75±3.47
62.50,67.50,66.25,68.75,50.00,63.00±7.63
87.50,88.75,86.25,81.25,83.75,85.50±3.01
77.50,72.50,63.75,68.75,76.25,71.75±5.63
23.75,25.00,25.00,33.75,33.75,28.25±5.05
73.75,76.25,78.75,72.50,66.25,73.50±4.71
82.50,95.00,90.00,97.50,86.25,90.25±6.15
87.50,91.25,83.75,83.75,86.25,86.50±3.11
93.75,96.25,91.25,92.50,98.75,94.50±3.01
88.75,88.75,90.00,81.25,85.00,86.75±3.60
88.75,77.50,92.50,82.50,93.75,87.00±6.88
100.00,100.00,100.00,98.75,97.50,99.25±1.12
100.00,100.00,100.00,95.00,98.75,98.75±2.17
98.75,93.75,98.75,98.75,100.00,98.00±2.44
85.00,92.50,76.25,92.50,90.00,87.25±6.87
32.50,47.50,55.00,43.75,40.00,43.75±8.39
48.75,63.75,53.75,66.25,65.00,59.50±7.79
98.75,98.75,100.00,100.00,100.00,99.50±0.68
97.50,97.50,96.25,98.75,97.50,97.50±0.88
100.00,100.00,98.75,97.50,100.00,99.25±1.12
96.25,92.50,91.25,97.50,96.25,94.75±2.71
85.00,66.25,63.75,72.50,66.25,70.75±8.60
92.50,93.75,92.50,82.50,95.00,91.25±5.00
91.25,96.25,93.75,97.50,96.25,95.00±2.50
97.50,93.75,100.00,100.00,100.00,98.25±2.74
98.75,100.00,100.00,100.00,100.00,99.75±0.56
75.00,66.25,65.00,76.25,56.25,67.75±8.17
97.50,92.50,88.75,95.00,86.25,92.00±4.56
38.75,35.00,35.00,21.25,26.25,31.25±7.23
95.00,92.50,92.50,97.50,93.75,94.25±2.09
100.00,100.00,100.00,97.50,97.50,99.00±1.37
97.50,96.25,98.75,95.00,91.25,95.75±2.88
68.75,68.75,67.50,68.75,62.50,67.25±2.71
98.75,97.50,92.50,96.25,96.25,96.25±2.34
88.75,83.75,73.75,77.50,82.50,81.25±5.80
75.00,65.00,57.50,63.75,65.00,65.25±6.27
85.49,85.39,84.24,84.77,83.87,84.75±16.90
