Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std
86.25,88.75,88.75,88.75,91.25,88.75±1.77
96.25,95.00,92.50,93.75,93.75,94.25±1.43
62.50,68.75,70.00,61.25,68.75,66.25±4.05
97.50,100.00,92.50,95.00,96.25,96.25±2.80
66.25,66.25,63.75,63.75,51.25,62.25±6.27
92.50,93.75,87.50,92.50,96.25,92.50±3.19
100.00,100.00,100.00,100.00,100.00,100.00±0.00
83.75,77.50,83.75,75.00,72.50,78.50±5.11
85.00,90.00,76.25,91.25,80.00,84.50±6.41
81.25,90.00,90.00,83.75,88.75,86.75±4.01
100.00,100.00,100.00,100.00,100.00,100.00±0.00
100.00,98.75,98.75,97.50,98.75,98.75±0.88
57.50,76.25,76.25,77.50,85.00,74.50±10.18
91.25,96.25,92.50,93.75,96.25,94.00±2.24
91.25,93.75,90.00,93.75,90.00,91.75±1.90
98.75,97.50,100.00,96.25,96.25,97.75±1.63
80.00,68.75,83.75,82.50,81.25,79.25±6.03
100.00,97.50,98.75,100.00,97.50,98.75±1.25
98.75,90.00,97.50,97.50,88.75,94.50±4.73
58.75,71.25,68.75,72.50,70.00,68.25±5.49
90.00,88.75,88.75,85.00,87.50,88.00±1.90
75.00,62.50,65.00,57.50,57.50,63.50±7.20
28.75,25.00,33.75,40.00,32.50,32.00±5.63
71.25,87.50,82.50,85.00,76.25,80.50±6.65
90.00,97.50,93.75,95.00,91.25,93.50±2.98
87.50,90.00,88.75,95.00,83.75,89.00±4.09
95.00,86.25,95.00,95.00,95.00,93.25±3.91
82.50,88.75,92.50,78.75,81.25,84.75±5.69
90.00,88.75,96.25,91.25,91.25,91.50±2.85
97.50,100.00,95.00,100.00,98.75,98.25±2.09
100.00,100.00,100.00,95.00,100.00,99.00±2.24
100.00,100.00,100.00,100.00,96.25,99.25±1.68
78.75,95.00,92.50,92.50,90.00,89.75±6.40
38.75,48.75,51.25,56.25,55.00,50.00±6.96
40.00,66.25,53.75,71.25,48.75,56.00±12.76
93.75,98.75,100.00,100.00,100.00,98.50±2.71
97.50,97.50,96.25,96.25,98.75,97.25±1.05
100.00,98.75,97.50,98.75,100.00,99.00±1.05
97.50,88.75,92.50,86.25,90.00,91.00±4.28
80.00,70.00,73.75,72.50,66.25,72.50±5.08
90.00,93.75,93.75,86.25,95.00,91.75±3.60
92.50,93.75,93.75,91.25,96.25,93.50±1.85
98.75,98.75,100.00,100.00,100.00,99.50±0.68
97.50,98.75,100.00,98.75,100.00,99.00±1.05
66.25,50.00,72.50,63.75,43.75,59.25±11.94
92.50,78.75,78.75,82.50,85.00,83.50±5.69
28.75,30.00,40.00,28.75,33.75,32.25±4.79
90.00,93.75,86.25,95.00,96.25,92.25±4.09
98.75,97.50,98.75,100.00,97.50,98.50±1.05
92.50,97.50,92.50,92.50,90.00,93.00±2.74
65.00,70.00,58.75,61.25,65.00,64.00±4.28
95.00,97.50,93.75,96.25,98.75,96.25±1.98
81.25,97.50,87.50,93.75,96.25,91.25±6.79
68.75,60.00,70.00,62.50,60.00,64.25±4.81
83.68,85.12,85.30,85.19,84.07,84.67±16.67
