Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std,ITR(bits/min)
90.0,88.75,88.75,90.0,90.0,89.50±0.68,53.97±1.28
95.0,95.0,90.0,95.0,92.5,93.50±2.24,62.18±4.72
62.5,71.25,72.5,72.5,68.75,69.50±4.20,25.36±4.44
100.0,100.0,92.5,100.0,96.25,97.75±3.35,73.65±9.20
66.25,68.75,70.0,63.75,53.75,64.50±6.47,20.37±5.88
96.25,92.5,92.5,95.0,96.25,94.50±1.90,64.38±4.30
100.0,100.0,100.0,100.0,100.0,100.00±0.00,80.00±0.00
85.0,86.25,83.75,87.5,80.0,84.50±2.88,45.43±4.55
88.75,90.0,82.5,90.0,82.5,86.75±3.91,49.33±6.63
85.0,90.0,90.0,83.75,88.75,87.50±2.93,50.51±5.09
100.0,100.0,100.0,100.0,100.0,100.00±0.00,80.00±0.00
100.0,98.75,98.75,97.5,98.75,98.75±0.88,75.53±2.96
63.75,76.25,80.0,68.75,86.25,75.00±8.93,32.70±11.45
92.5,96.25,92.5,93.75,95.0,94.00±1.63,63.21±3.68
92.5,95.0,92.5,93.75,92.5,93.25±1.12,61.51±2.45
98.75,97.5,100.0,97.5,97.5,98.25±1.12,74.07±3.68
83.75,75.0,83.75,88.75,82.5,82.75±4.95,42.92±7.46
100.0,97.5,98.75,100.0,97.5,98.75±1.25,75.73±4.17
98.75,90.0,98.75,95.0,93.75,95.25±3.69,66.70±8.76
65.0,73.75,75.0,70.0,67.5,70.25±4.18,26.20±4.72
90.0,87.5,92.5,88.75,88.75,89.50±1.90,54.05±3.63
75.0,63.75,65.0,57.5,65.0,65.25±6.27,21.11±6.55
32.5,25.0,32.5,40.0,31.25,32.25±5.33,1.07±1.20
76.25,87.5,82.5,85.0,75.0,81.25±5.45,40.72±8.06
90.0,98.75,95.0,95.0,91.25,94.00±3.47,63.66±8.04
87.5,90.0,88.75,93.75,83.75,88.75±3.64,52.89±6.73
95.0,97.5,93.75,96.25,95.0,95.50±1.43,66.67±3.48
81.25,88.75,92.5,83.75,81.25,85.50±4.97,47.41±8.59
86.25,88.75,96.25,91.25,91.25,90.75±3.71,56.76±7.54
100.0,100.0,98.75,100.0,100.0,99.75±0.56,79.07±2.09
100.0,100.0,100.0,95.0,100.0,99.00±2.24,77.07±6.54
100.0,100.0,100.0,100.0,98.75,99.75±0.56,79.07±2.09
82.5,95.0,92.5,92.5,90.0,90.50±4.81,56.43±8.81
48.75,46.25,50.0,56.25,55.0,51.25±4.24,9.28±2.84
41.25,68.75,48.75,71.25,47.5,55.50±13.57,13.89±10.97
96.25,98.75,100.0,100.0,100.0,99.00±1.63,76.74±5.09
97.5,97.5,97.5,96.25,98.75,97.50±0.88,71.75±2.45
100.0,98.75,98.75,98.75,100.0,99.25±0.68,77.20±2.56
97.5,96.25,93.75,92.5,91.25,94.25±2.59,63.96±5.95
81.25,77.5,73.75,76.25,71.25,76.00±3.79,33.17±4.97
90.0,92.5,93.75,86.25,96.25,91.75±3.81,58.78±7.67
92.5,93.75,95.0,91.25,96.25,93.75±1.98,62.70±4.37
100.0,100.0,100.0,100.0,100.0,100.00±0.00,80.00±0.00
98.75,100.0,98.75,98.75,100.0,99.25±0.68,77.20±2.56
66.25,71.25,76.25,63.75,68.75,69.25±4.81,25.15±5.43
93.75,80.0,81.25,88.75,91.25,87.00±6.10,50.23±10.56
32.5,30.0,46.25,27.5,33.75,34.00±7.26,1.69±2.49
92.5,95.0,96.25,95.0,96.25,95.00±1.53,65.48±3.48
98.75,97.5,98.75,100.0,98.75,98.75±0.88,75.53±2.96
95.0,97.5,98.75,93.75,91.25,95.25±2.98,66.45±7.17
66.25,70.0,58.75,62.5,65.0,64.50±4.20,20.13±4.10
98.75,98.75,96.25,96.25,98.75,97.75±1.37,72.56±3.80
86.25,97.5,96.25,93.75,95.0,93.75±4.42,63.23±9.08
71.25,61.25,71.25,65.0,60.0,65.75±5.35,21.49±5.45
85.28,86.55,86.71,86.2,85.3,86.01±16.22,53.82±22.32
