Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std
90.00,88.75,88.75,90.00,91.25,89.75±1.05
95.00,95.00,91.25,95.00,92.50,93.75±1.77
62.50,68.75,72.50,73.75,68.75,69.25±4.38
100.00,100.00,92.50,100.00,96.25,97.75±3.35
68.75,68.75,70.00,63.75,53.75,65.00±6.73
96.25,93.75,92.50,95.00,96.25,94.75±1.63
100.00,100.00,100.00,100.00,100.00,100.00±0.00
83.75,85.00,83.75,87.50,80.00,84.00±2.71
90.00,90.00,81.25,87.50,85.00,86.75±3.71
85.00,90.00,90.00,83.75,88.75,87.50±2.93
100.00,100.00,100.00,100.00,100.00,100.00±0.00
100.00,98.75,98.75,97.50,98.75,98.75±0.88
60.00,76.25,80.00,76.25,86.25,75.75±9.71
91.25,97.50,92.50,93.75,95.00,94.00±2.40
91.25,95.00,92.50,93.75,92.50,93.00±1.43
98.75,97.50,100.00,97.50,97.50,98.25±1.12
83.75,75.00,85.00,90.00,82.50,83.25±5.42
100.00,97.50,98.75,100.00,98.75,99.00±1.05
98.75,90.00,98.75,95.00,93.75,95.25±3.69
66.25,73.75,75.00,72.50,70.00,71.50±3.47
88.75,86.25,92.50,88.75,88.75,89.00±2.24
75.00,63.75,65.00,58.75,66.25,65.75±5.90
32.50,25.00,32.50,40.00,31.25,32.25±5.33
76.25,87.50,82.50,85.00,76.25,81.50±5.11
90.00,97.50,95.00,95.00,91.25,93.75±3.06
87.50,91.25,88.75,93.75,83.75,89.00±3.79
95.00,97.50,93.75,96.25,95.00,95.50±1.43
83.75,88.75,92.50,85.00,81.25,86.25±4.42
90.00,88.75,96.25,91.25,91.25,91.50±2.85
100.00,100.00,98.75,100.00,100.00,99.75±0.56
100.00,100.00,100.00,95.00,100.00,99.00±2.24
100.00,100.00,100.00,100.00,98.75,99.75±0.56
82.50,95.00,92.50,92.50,90.00,90.50±4.81
47.50,48.75,51.25,53.75,55.00,51.25±3.19
43.75,66.25,50.00,71.25,48.75,56.00±12.00
96.25,98.75,100.00,100.00,100.00,99.00±1.63
97.50,97.50,97.50,96.25,98.75,97.50±0.88
100.00,98.75,98.75,98.75,100.00,99.25±0.68
97.50,96.25,93.75,92.50,91.25,94.25±2.59
80.00,77.50,75.00,75.00,76.25,76.75±2.09
90.00,92.50,93.75,86.25,96.25,91.75±3.81
92.50,93.75,95.00,91.25,96.25,93.75±1.98
100.00,100.00,100.00,100.00,100.00,100.00±0.00
98.75,100.00,98.75,98.75,100.00,99.25±0.68
68.75,71.25,77.50,63.75,62.50,68.75±6.06
93.75,78.75,81.25,90.00,90.00,86.75±6.41
31.25,28.75,45.00,27.50,33.75,33.25±6.99
92.50,95.00,96.25,95.00,96.25,95.00±1.53
98.75,97.50,98.75,100.00,98.75,98.75±0.88
95.00,97.50,98.75,93.75,91.25,95.25±2.98
65.00,71.25,58.75,61.25,65.00,64.25±4.73
98.75,98.75,96.25,95.00,98.75,97.50±1.77
86.25,97.50,96.25,95.00,95.00,94.00±4.45
71.25,60.00,68.75,65.00,58.75,64.75±5.41
85.32,86.46,86.76,86.37,85.44,86.07±16.23
